U+00F0	ð	LATIN SMALL LETTER ETH
U+01D0	ǐ	LATIN SMALL LETTER I WITH CARON
U+01D2	ǒ	LATIN SMALL LETTER O WITH CARON
U+01D4	ǔ	LATIN SMALL LETTER U WITH CARON
U+01D6	ǖ	LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
U+01D8	ǘ	LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
U+01DA	ǚ	LATIN SMALL LETTER U WITH DIAERESIS AND CARON
U+01DC	ǜ	LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
U+01DD	ǝ	LATIN SMALL LETTER TURNED E
U+01DF	ǟ	LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
U+01E5	ǥ	LATIN SMALL LETTER G WITH STROKE
U+01E7	ǧ	LATIN SMALL LETTER G WITH CARON
U+01E9	ǩ	LATIN SMALL LETTER K WITH CARON
U+01EB	ǫ	LATIN SMALL LETTER O WITH OGONEK
U+01F5	ǵ	LATIN SMALL LETTER G WITH ACUTE
U+01F9	ǹ	LATIN SMALL LETTER N WITH GRAVE
U+01FF	ǿ	LATIN SMALL LETTER O WITH STROKE AND ACUTE
U+0203	ȃ	LATIN SMALL LETTER A WITH INVERTED BREVE
U+0205	ȅ	LATIN SMALL LETTER E WITH DOUBLE GRAVE
U+0207	ȇ	LATIN SMALL LETTER E WITH INVERTED BREVE
U+0209	ȉ	LATIN SMALL LETTER I WITH DOUBLE GRAVE
U+020B	ȋ	LATIN SMALL LETTER I WITH INVERTED BREVE
U+020F	ȏ	LATIN SMALL LETTER O WITH INVERTED BREVE
U+0213	ȓ	LATIN SMALL LETTER R WITH INVERTED BREVE
U+0217	ȗ	LATIN SMALL LETTER U WITH INVERTED BREVE
U+021D	ȝ	LATIN SMALL LETTER YOGH
U+0227	ȧ	LATIN SMALL LETTER A WITH DOT ABOVE
U+0229	ȩ	LATIN SMALL LETTER E WITH CEDILLA
U+022F	ȯ	LATIN SMALL LETTER O WITH DOT ABOVE
U+0233	ȳ	LATIN SMALL LETTER Y WITH MACRON
U+0242	ɂ	LATIN SMALL LETTER GLOTTAL STOP
U+0247	ɇ	LATIN SMALL LETTER E WITH STROKE
U+0249	ɉ	LATIN SMALL LETTER J WITH STROKE
U+024D	ɍ	LATIN SMALL LETTER R WITH STROKE
U+024F	ɏ	LATIN SMALL LETTER Y WITH STROKE
U+0251	ɑ	LATIN SMALL LETTER ALPHA
U+0252	ɒ	LATIN SMALL LETTER TURNED ALPHA
U+0253	ɓ	LATIN SMALL LETTER B WITH HOOK
U+0254	ɔ	LATIN SMALL LETTER OPEN O
U+0255	ɕ	LATIN SMALL LETTER C WITH CURL
U+0256	ɖ	LATIN SMALL LETTER D WITH TAIL
U+0257	ɗ	LATIN SMALL LETTER D WITH HOOK
U+0258	ɘ	LATIN SMALL LETTER REVERSED E
U+0259	ə	LATIN SMALL LETTER SCHWA
U+025A	ɚ	LATIN SMALL LETTER SCHWA WITH HOOK
U+025B	ɛ	LATIN SMALL LETTER OPEN E
U+025C	ɜ	LATIN SMALL LETTER REVERSED OPEN E
U+025F	ɟ	LATIN SMALL LETTER DOTLESS J WITH STROKE
U+0260	ɠ	LATIN SMALL LETTER G WITH HOOK
U+0261	ɡ	LATIN SMALL LETTER SCRIPT G
U+0263	ɣ	LATIN SMALL LETTER GAMMA
U+0264	ɤ	LATIN SMALL LETTER RAMS HORN
U+0266	ɦ	LATIN SMALL LETTER H WITH HOOK
U+0267	ɧ	LATIN SMALL LETTER HENG WITH HOOK
U+0268	ɨ	LATIN SMALL LETTER I WITH STROKE
U+0269	ɩ	LATIN SMALL LETTER IOTA
U+026A	ɪ	LATIN LETTER SMALL CAPITAL I
U+026D	ɭ	LATIN SMALL LETTER L WITH RETROFLEX HOOK
U+0271	ɱ	LATIN SMALL LETTER M WITH HOOK
U+0272	ɲ	LATIN SMALL LETTER N WITH LEFT HOOK
U+0273	ɳ	LATIN SMALL LETTER N WITH RETROFLEX HOOK
U+0274	ɴ	LATIN LETTER SMALL CAPITAL N
U+0275	ɵ	LATIN SMALL LETTER BARRED O
U+027D	ɽ	LATIN SMALL LETTER R WITH TAIL
U+0280	ʀ	LATIN LETTER SMALL CAPITAL R
U+0282	ʂ	LATIN SMALL LETTER S WITH HOOK
U+0283	ʃ	LATIN SMALL LETTER ESH
U+0287	ʇ	LATIN SMALL LETTER TURNED T
U+0288	ʈ	LATIN SMALL LETTER T WITH RETROFLEX HOOK
U+0289	ʉ	LATIN SMALL LETTER U BAR
U+028A	ʊ	LATIN SMALL LETTER UPSILON
U+028B	ʋ	LATIN SMALL LETTER V WITH HOOK
U+028C	ʌ	LATIN SMALL LETTER TURNED V
U+028F	ʏ	LATIN LETTER SMALL CAPITAL Y
U+0292	ʒ	LATIN SMALL LETTER EZH
U+0294	ʔ	LATIN LETTER GLOTTAL STOP
U+029F	ʟ	LATIN LETTER SMALL CAPITAL L
U+02A4	ʤ	LATIN SMALL LETTER DEZH DIGRAPH
U+1D04	ᴄ	LATIN LETTER SMALL CAPITAL C
U+1D05	ᴅ	LATIN LETTER SMALL CAPITAL D
U+1D07	ᴇ	LATIN LETTER SMALL CAPITAL E
U+1D0A	ᴊ	LATIN LETTER SMALL CAPITAL J
U+1D0B	ᴋ	LATIN LETTER SMALL CAPITAL K
U+1D0D	ᴍ	LATIN LETTER SMALL CAPITAL M
U+1D10	ᴐ	LATIN LETTER SMALL CAPITAL OPEN O
U+1D18	ᴘ	LATIN LETTER SMALL CAPITAL P
U+1D1B	ᴛ	LATIN LETTER SMALL CAPITAL T
U+1D7B	ᵻ	LATIN SMALL CAPITAL LETTER I WITH STROKE
U+1D7D	ᵽ	LATIN SMALL LETTER P WITH STROKE
U+1D7E	ᵾ	LATIN SMALL CAPITAL LETTER U WITH STROKE
U+1E03	ḃ	LATIN SMALL LETTER B WITH DOT ABOVE
U+1E05	ḅ	LATIN SMALL LETTER B WITH DOT BELOW
U+1E07	ḇ	LATIN SMALL LETTER B WITH LINE BELOW
U+1E0B	ḋ	LATIN SMALL LETTER D WITH DOT ABOVE
U+1E0D	ḍ	LATIN SMALL LETTER D WITH DOT BELOW
U+1E0F	ḏ	LATIN SMALL LETTER D WITH LINE BELOW
U+1E13	ḓ	LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
U+1E17	ḗ	LATIN SMALL LETTER E WITH MACRON AND ACUTE
U+1E1B	ḛ	LATIN SMALL LETTER E WITH TILDE BELOW
U+1E21	ḡ	LATIN SMALL LETTER G WITH MACRON
U+1E25	ḥ	LATIN SMALL LETTER H WITH DOT BELOW
U+1E2B	ḫ	LATIN SMALL LETTER H WITH BREVE BELOW
U+1E2D	ḭ	LATIN SMALL LETTER I WITH TILDE BELOW
U+1E2F	ḯ	LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
U+1E31	ḱ	LATIN SMALL LETTER K WITH ACUTE
U+1E33	ḳ	LATIN SMALL LETTER K WITH DOT BELOW
U+1E35	ḵ	LATIN SMALL LETTER K WITH LINE BELOW
U+1E37	ḷ	LATIN SMALL LETTER L WITH DOT BELOW
U+1E3B	ḻ	LATIN SMALL LETTER L WITH LINE BELOW
U+1E3D	ḽ	LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
U+1E3F	ḿ	LATIN SMALL LETTER M WITH ACUTE
U+1E41	ṁ	LATIN SMALL LETTER M WITH DOT ABOVE
U+1E43	ṃ	LATIN SMALL LETTER M WITH DOT BELOW
U+1E45	ṅ	LATIN SMALL LETTER N WITH DOT ABOVE
U+1E47	ṇ	LATIN SMALL LETTER N WITH DOT BELOW
U+1E49	ṉ	LATIN SMALL LETTER N WITH LINE BELOW
U+1E4B	ṋ	LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
U+1E4D	ṍ	LATIN SMALL LETTER O WITH TILDE AND ACUTE
U+1E51	ṑ	LATIN SMALL LETTER O WITH MACRON AND GRAVE
U+1E53	ṓ	LATIN SMALL LETTER O WITH MACRON AND ACUTE
U+1E55	ṕ	LATIN SMALL LETTER P WITH ACUTE
U+1E57	ṗ	LATIN SMALL LETTER P WITH DOT ABOVE
U+1E59	ṙ	LATIN SMALL LETTER R WITH DOT ABOVE
U+1E5B	ṛ	LATIN SMALL LETTER R WITH DOT BELOW
U+1E5F	ṟ	LATIN SMALL LETTER R WITH LINE BELOW
U+1E61	ṡ	LATIN SMALL LETTER S WITH DOT ABOVE
U+1E63	ṣ	LATIN SMALL LETTER S WITH DOT BELOW
U+1E6B	ṫ	LATIN SMALL LETTER T WITH DOT ABOVE
U+1E6D	ṭ	LATIN SMALL LETTER T WITH DOT BELOW
U+1E6F	ṯ	LATIN SMALL LETTER T WITH LINE BELOW
U+1E71	ṱ	LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
U+1E73	ṳ	LATIN SMALL LETTER U WITH DIAERESIS BELOW
U+1E75	ṵ	LATIN SMALL LETTER U WITH TILDE BELOW
U+1E79	ṹ	LATIN SMALL LETTER U WITH TILDE AND ACUTE
U+1E7D	ṽ	LATIN SMALL LETTER V WITH TILDE
U+1E7F	ṿ	LATIN SMALL LETTER V WITH DOT BELOW
U+1E81	ẁ	LATIN SMALL LETTER W WITH GRAVE
U+1E83	ẃ	LATIN SMALL LETTER W WITH ACUTE
U+1E85	ẅ	LATIN SMALL LETTER W WITH DIAERESIS
U+1E89	ẉ	LATIN SMALL LETTER W WITH DOT BELOW
U+1E8D	ẍ	LATIN SMALL LETTER X WITH DIAERESIS
U+1E8F	ẏ	LATIN SMALL LETTER Y WITH DOT ABOVE
U+1E91	ẑ	LATIN SMALL LETTER Z WITH CIRCUMFLEX
U+1E93	ẓ	LATIN SMALL LETTER Z WITH DOT BELOW
U+1E95	ẕ	LATIN SMALL LETTER Z WITH LINE BELOW
U+1E96	ẖ	LATIN SMALL LETTER H WITH LINE BELOW
U+1E97	ẗ	LATIN SMALL LETTER T WITH DIAERESIS
U+2184	ↄ	LATIN SMALL LETTER REVERSED C
U+2C61	ⱡ	LATIN SMALL LETTER L WITH DOUBLE BAR
U+2C65	ⱥ	LATIN SMALL LETTER A WITH STROKE
U+2C71	ⱱ	LATIN SMALL LETTER V WITH RIGHT HOOK
U+A731	ꜱ	LATIN LETTER SMALL CAPITAL S
U+A78C	ꞌ	LATIN SMALL LETTER SALTILLO
